costheta,flux
-1.000000,0.000000
-0.990000,0.000000
-0.980000,0.000000
-0.970000,0.000000
-0.960000,0.000000
-0.950000,0.000000
-0.940000,0.000000
-0.930000,0.000000
-0.920000,0.000000
-0.910000,0.000000
-0.900000,0.000000
-0.890000,0.000000
-0.880000,0.000000
-0.870000,0.000000
-0.860000,0.000000
-0.850000,0.000000
-0.840000,0.000000
-0.830000,0.000000
-0.820000,0.000000
-0.810000,0.000000
-0.800000,0.000000
-0.790000,0.000000
-0.780000,0.000000
-0.770000,0.000000
-0.760000,0.000000
-0.750000,0.000000
-0.740000,0.000000
-0.730000,0.000000
-0.720000,0.000000
-0.710000,0.000000
-0.700000,0.000000
-0.690000,0.000000
-0.680000,0.000000
-0.670000,0.000000
-0.660000,0.000000
-0.650000,0.000000
-0.640000,0.000000
-0.630000,0.000000
-0.620000,0.000000
-0.610000,0.000000
-0.600000,0.000000
-0.590000,0.000000
-0.580000,0.000000
-0.570000,0.000000
-0.560000,0.000000
-0.550000,0.000000
-0.540000,0.000000
-0.530000,0.000000
-0.520000,0.000000
-0.510000,0.000000
-0.500000,0.000000
-0.490000,0.000000
-0.480000,0.000000
-0.470000,0.000000
-0.460000,0.000000
-0.450000,0.000000
-0.440000,0.000000
-0.430000,0.000000
-0.420000,0.000000
-0.410000,0.000000
-0.400000,0.000000
-0.390000,0.000000
-0.380000,0.000000
-0.370000,0.000000
-0.360000,0.000000
-0.350000,0.000000
-0.340000,0.000000
-0.330000,0.000000
-0.320000,0.000000
-0.310000,0.000000
-0.300000,0.000000
-0.290000,0.000000
-0.280000,0.000000
-0.270000,0.000000
-0.260000,0.000000
-0.250000,0.000000
-0.240000,0.000000
-0.230000,0.000000
-0.220000,0.000000
-0.210000,0.000000
-0.200000,0.000000
-0.190000,0.000000
-0.180000,0.000000
-0.170000,0.000000
-0.160000,0.000000
-0.150000,0.000000
-0.140000,0.000000
-0.130000,0.000000
-0.120000,0.000000
-0.110000,0.000000
-0.100000,0.000000
-0.090000,0.000000
-0.080000,0.000000
-0.070000,0.000000
-0.060000,0.000000
-0.050000,0.000000
-0.040000,0.000000
-0.030000,0.000000
-0.020000,0.000000
-0.010000,0.000000
0.000000,0.000000
0.010000,0.000000
0.020000,0.000000
0.030000,0.000000
0.040000,0.000000
0.050000,0.000000
0.060000,0.000000
0.070000,0.000000
0.080000,0.000000
0.090000,0.000000
0.100000,0.000009
0.110000,0.000001
0.120000,0.000001
0.130000,0.000001
0.140000,0.000001
0.150000,0.000001
0.160000,0.000001
0.170000,0.000001
0.180000,0.000003
0.190000,0.000002
0.200000,0.000002
0.210000,0.000002
0.220000,0.000001
0.230000,0.000004
0.240000,0.000003
0.250000,0.000003
0.260000,0.000003
0.270000,0.000006
0.280000,0.000005
0.290000,0.000004
0.300000,0.000009
0.310000,0.000007
0.320000,0.000006
0.330000,0.000012
0.340000,0.000009
0.350000,0.000008
0.360000,0.000013
0.370000,0.000010
0.380000,0.000066
0.390000,0.000012
0.400000,0.000011
0.410000,0.000018
0.420000,0.000015
0.430000,0.000024
0.440000,0.000019
0.450000,0.000030
0.460000,0.000023
0.470000,0.000035
0.480000,0.000028
0.490000,0.000040
0.500000,0.000033
0.510000,0.000044
0.520000,0.000074
0.530000,0.000048
0.540000,0.000066
0.550000,0.000054
0.560000,0.000070
0.570000,0.000093
0.580000,0.000168
0.590000,0.000090
0.600000,0.000117
0.610000,0.000155
0.620000,0.000260
0.630000,0.000140
0.640000,0.000176
0.650000,0.000219
0.660000,0.000270
0.670000,0.000334
0.680000,0.000414
0.690000,0.000514
0.700000,0.000628
0.710000,0.000731
0.720000,0.000802
0.730000,0.000860
0.740000,0.000928
0.750000,0.001011
0.760000,0.001117
0.770000,0.001248
0.780000,0.001403
0.790000,0.002507
0.800000,0.002453
0.810000,0.002633
0.820000,0.004392
0.830000,0.004309
0.840000,0.007058
0.850000,0.006696
0.860000,0.010222
0.870000,0.015870
0.880000,0.034251
0.890000,0.017763
0.900000,0.026776
0.910000,0.068150
0.920000,0.070996
0.930000,0.089594
0.940000,0.170737
0.950000,0.298898
0.960000,0.482017
0.970000,1.122827
0.980000,2.226792
0.990000,8.238564
1.000000,188.361091
