cosphi,flux
-1.000000,11.011468
-0.990000,1.008863
-0.980000,0.463225
-0.970000,0.284344
-0.960000,0.180964
-0.950000,0.125155
-0.940000,0.101793
-0.930000,0.082420
-0.920000,0.065255
-0.910000,0.050528
-0.900000,0.050959
-0.890000,0.038150
-0.880000,0.038312
-0.870000,0.038356
-0.860000,0.027992
-0.850000,0.028142
-0.840000,0.028358
-0.830000,0.019937
-0.820000,0.020025
-0.810000,0.020040
-0.800000,0.020058
-0.790000,0.013033
-0.780000,0.013139
-0.770000,0.013312
-0.760000,0.013369
-0.750000,0.013388
-0.740000,0.013524
-0.730000,0.013582
-0.720000,0.008253
-0.710000,0.008330
-0.700000,0.008345
-0.690000,0.008344
-0.680000,0.008477
-0.670000,0.008560
-0.660000,0.008645
-0.650000,0.008736
-0.640000,0.008758
-0.630000,0.008768
-0.620000,0.008770
-0.610000,0.004775
-0.600000,0.004788
-0.590000,0.004823
-0.580000,0.004850
-0.570000,0.004884
-0.560000,0.004897
-0.550000,0.004916
-0.540000,0.004949
-0.530000,0.004960
-0.520000,0.004972
-0.510000,0.005027
-0.500000,0.005123
-0.490000,0.005173
-0.480000,0.005214
-0.470000,0.005243
-0.460000,0.005276
-0.450000,0.005287
-0.440000,0.005304
-0.430000,0.005356
-0.420000,0.005398
-0.410000,0.005428
-0.400000,0.002631
-0.390000,0.002629
-0.380000,0.002653
-0.370000,0.002666
-0.360000,0.002687
-0.350000,0.002702
-0.340000,0.002705
-0.330000,0.002734
-0.320000,0.002743
-0.310000,0.002748
-0.300000,0.002756
-0.290000,0.002817
-0.280000,0.002835
-0.270000,0.002860
-0.260000,0.002877
-0.250000,0.002890
-0.240000,0.002905
-0.230000,0.002940
-0.220000,0.002959
-0.210000,0.002972
-0.200000,0.002974
-0.190000,0.002983
-0.180000,0.003009
-0.170000,0.003041
-0.160000,0.003062
-0.150000,0.003076
-0.140000,0.003087
-0.130000,0.003092
-0.120000,0.003119
-0.110000,0.003157
-0.100000,0.003190
-0.090000,0.003201
-0.080000,0.003220
-0.070000,0.003223
-0.060000,0.003240
-0.050000,0.003288
-0.040000,0.003327
-0.030000,0.003349
-0.020000,0.003376
-0.010000,0.003383
0.000000,0.003404
0.010000,0.003428
0.020000,0.003454
0.030000,0.003469
0.040000,0.003519
0.050000,0.003530
0.060000,0.003556
0.070000,0.003588
0.080000,0.003594
0.090000,0.003643
0.100000,0.003668
0.110000,0.003678
0.120000,0.003703
0.130000,0.003739
0.140000,0.003754
0.150000,0.003775
0.160000,0.003828
0.170000,0.003854
0.180000,0.003898
0.190000,0.003930
0.200000,0.003952
0.210000,0.004001
0.220000,0.004018
0.230000,0.004067
0.240000,0.004083
0.250000,0.004123
0.260000,0.004154
0.270000,0.004169
0.280000,0.004201
0.290000,0.004218
0.300000,0.004239
0.310000,0.004273
0.320000,0.004346
0.330000,0.004393
0.340000,0.004434
0.350000,0.004494
0.360000,0.004530
0.370000,0.004558
0.380000,0.004579
0.390000,0.004595
0.400000,0.004606
0.410000,0.004700
0.420000,0.004763
0.430000,0.004805
0.440000,0.004851
0.450000,0.004877
0.460000,0.004889
0.470000,0.004916
0.480000,0.005005
0.490000,0.005067
0.500000,0.005091
0.510000,0.005126
0.520000,0.005151
0.530000,0.005252
0.540000,0.005314
0.550000,0.005358
0.560000,0.005396
0.570000,0.005456
0.580000,0.005526
0.590000,0.005572
0.600000,0.005594
0.610000,0.005683
0.620000,0.005727
0.630000,0.005770
0.640000,0.005834
0.650000,0.005881
0.660000,0.005939
0.670000,0.006014
0.680000,0.006095
0.690000,0.006166
0.700000,0.006250
0.710000,0.006289
0.720000,0.006367
0.730000,0.006415
0.740000,0.006481
0.750000,0.006545
0.760000,0.006657
0.770000,0.006729
0.780000,0.006810
0.790000,0.006868
0.800000,0.006922
0.810000,0.006990
0.820000,0.007109
0.830000,0.007198
0.840000,0.007290
0.850000,0.007368
0.860000,0.007455
0.870000,0.007578
0.880000,0.007654
0.890000,0.007732
0.900000,0.007843
0.910000,0.007934
0.920000,0.007999
0.930000,0.008124
0.940000,0.008204
0.950000,0.008356
0.960000,0.008447
0.970000,0.008559
0.980000,0.008676
0.990000,0.008797
1.000000,0.008905
